,Index,Sea_level,Sea_CO2,Sea_Temperature,Stratification,OCH-700,OCH-2000,Ice_index,Salinity
1,2003-01,11.36285714,374.3373687,0.08,2.592,-4.13,-2.53,14.391,0.00382
2,2003-02,8.35,367.68926,0.11,2.948,-4.09,-2.48,15.193,0.00367
3,2003-03,6.47,365.9339178,0.13,2.333,-3.92,-2.66,15.485,0.00328
4,2003-04,8.37,383.6821197,0.08,2.371,-3.61,-2.57,14.512,0.00314
5,2003-05,5.7325,391.8925563,0.05,2.055,-3.50,-2.63,13.016,0.00262
6,2003-06,6.42,382.9028108,0.04,2.119,-3.14,-2.48,11.604,0.00244
7,2003-07,7.5,390.7076913,0.1,2.256,-3.49,-2.32,9.215,0.00281
8,2003-08,15.36,386.1655763,0.14,2.800,-3.31,-2.13,6.936,0.00286
9,2003-09,17.42833333,382.9543561,0.16,2.856,-2.91,-2.16,6.116,0.00321
10,2003-10,19.54,378.3286062,0.18,3.097,-2.89,-2.16,7.848,0.00352
11,2003-11,16.79,381.2733782,0.11,2.826,-3.24,-2.15,10.125,0.00374
12,2003-12,16.07,374.3685413,0.08,2.590,-4.15,-2.38,12.588,0.00445
13,2004-01,10.26444444,368.5824471,0.09,2.566,-3.99,-2.24,14.026,0.00443
14,2004-02,8.845,365.3506084,0.12,2.042,-4.59,-2.36,14.914,0.00477
15,2004-03,9.86,370.3461902,0.09,1.641,-3.66,-2.40,14.993,0.00463
16,2004-04,10.54,382.5636457,0.11,1.424,-3.33,-2.42,13.987,0.00413
17,2004-05,6.945,389.3106658,0.02,1.256,-3.69,-2.33,12.558,0.00428
18,2004-06,9.37,385.9371459,-0.03,1.742,-3.93,-2.40,11.447,0.00414
19,2004-07,8.92,384.2588878,0,2.024,-3.43,-2.28,9.431,0.00422
20,2004-08,15.82,385.4898346,0.09,2.265,-3.55,-2.09,6.855,0.00446
21,2004-09,19.85333333,385.5995086,0.09,2.368,-2.83,-2.09,5.984,0.00441
22,2004-10,21,383.0784716,0.07,2.540,-3.03,-2.18,7.925,0.00443
