,Index,Sea_level,Sea_CO2,Sea_Temperature,Stratification,OCH-700,OCH-2000,Ice_index,Salinity
1,1993-01,-23.17,354.3290747,-0.15,-1.367,-9.89,-4.94,14.896,-0.00179
2,1993-02,-19.86333333,351.175905,-0.16,-0.887,-10.55,-5.11,15.686,-0.00122
3,1993-03,-24.38,356.8823675,-0.15,-0.744,-10.15,-5.19,15.813,-0.00105
4,1993-04,-18.79666667,367.8515432,-0.18,-0.58,-10.13,-5.01,15.077,-0.00133
5,1993-05,-23.96333333,379.9731258,-0.16,-0.783,-10.02,-5.16,13.368,-0.00123
6,1993-06,-16.73,382.5190433,-0.22,-1.241,-10.75,-5.26,11.871,-0.00147
7,1993-07,-20.73,377.6563556,-0.28,-1.29,-10.93,-5.1,9.476,-0.00169
8,1993-08,-10.06333333,374.9730888,-0.21,-0.797,-11.8,-4.88,7.335,-0.00185
9,1993-09,-11.69666667,375.0738454,-0.19,-0.723,-11.78,-4.89,6.397,-0.00094
10,1993-10,-6.68,371.4081047,-0.17,-1.105,-11.9,-4.96,8.786,-0.00085
11,1993-11,-12.49666667,367.5016355,-0.17,-1.157,-11.24,-5.15,11.319,-0.00108
12,1993-12,-5.63,361.2372793,-0.17,-0.792,-10.9,-5.63,13.319,-0.00087
13,1994-01,-17.755,354.9119621,-0.18,-1.479,-10.41,-4.98,14.73,-0.00047
14,1994-02,-15.66333333,351.8130976,-0.25,-1.313,-10.27,-5.23,15.562,-0.00031
15,1994-03,-16.26333333,357.5748048,-0.15,-1.679,-10.21,-5.04,15.554,-0.00015
16,1994-04,-15.79666667,368.5971581,-0.18,-1.378,-10.52,-5.08,14.888,0.00006
17,1994-05,-19.36333333,380.7642142,-0.14,-0.9,-10.8,-5,13.624,-0.0002
18,1994-06,-19.38,383.3460219,-0.25,-0.65,-11,-5.13,12.016,-0.00091
19,1994-07,-15.96333333,378.4976152,-0.22,-1.046,-10.66,-4.86,9.925,-0.00067
20,1994-08,-8.463333333,375.8196098,-0.1,-0.157,-10.98,-4.54,7.639,-0.00035
21,1994-09,-8.663333333,375.9284464,-0.19,-0.181,-9.82,-4.38,7.138,-0.00046
22,1994-10,-0.68,372.2713493,-0.12,0.393,-9.87,-4.44,8.915,-0.00042
23,1994-11,-8.53,368.3847983,-0.12,0.232,-9.69,-4.54,11.123,-0.00016
24,1994-12,-5.88,362.1510709,-0.12,0.78,-10.08,-4.61,13.272,-0.00075
25,1995-01,-11.555,355.8503696,-0.1,1.522,-10.22,-4.23,14.586,0.00055
